#Name,x-pos,y-pos,z-pos,dist,bright,temp
Sun,0.0000,0.0000,0.0000,0.0000,1.0000,5778.4237
Gl-385,26.0016,-46.0533,22.8861,57.6260,0.0286,7216.7630
Gl-67.1,24.1734,-39.8660,31.4441,56.2351,1.1695,5928.6628
Gl-820.1,31.3133,-36.3163,29.5621,56.3322,0.0014,7795.1844
GJ-2108,41.9529,-56.0197,24.4276,74.1280,0.0020,7795.1844
Wo-9189,17.4958,-42.1762,26.1259,52.6070,1.2823,5967.5435
Gl-808,29.7944,-30.9936,26.9210,50.7252,0.0038,3793.5065
Gl-626.1,38.2868,-41.5045,21.1248,60.2890,7.9433,4969.7612
GJ-1077,12.6264,-34.0358,22.0401,42.4692,0.0025,3823.8388
GJ-2096,34.3710,-54.3414,17.2166,66.5639,0.0871,4308.7270
GJ-1123,9.5821,-23.0792,8.8716,26.5173,0.0003,3594.3995
Gl-835.1,36.1439,-37.0472,36.4987,63.3327,10.3753,4742.7382
NN-4340,21.8535,-27.6552,28.4560,45.3005,0.7943,5670.9835
NN-4229A,37.3605,-38.9783,38.9312,66.5639,0.1837,4742.7382
Gl-19,9.2090,-13.2443,13.4278,20.9886,2.7542,5890.3220
Gl-305,17.9382,-49.6618,20.9944,56.8229,7.7268,6880.2418
GJ-1251,34.5003,-31.8623,29.1653,55.2819,0.0007,3464.9272
Gl-877,14.0248,-15.5825,17.3347,27.2029,0.0042,3808.6099
Gl-539.1,39.9739,-51.1588,14.6843,66.5639,1.4859,6046.9729
Gl-231,6.8013,-24.1080,13.7728,28.5857,0.6194,5534.1967
Gl-391,21.3125,-49.8193,13.5285,55.8499,8.3176,7158.2024
Gl-637,34.6133,-30.8954,14.7391,48.6811,0.0056,3691.1685
Gl-902,14.2375,-16.8613,20.8631,30.3690,0.1117,4766.8768
GJ-1244,45.5533,-34.6986,33.9362,66.5639,0.1514,4603.1486
Gl-855.1A,25.7865,-24.1688,30.3644,46.5948,0.7178,5778.4237
NN-3344,12.2981,-51.1699,34.1272,62.7237,0.0067,3950.3928
GJ-1264,19.6838,-16.9446,20.8115,33.2820,0.0105,3854.6801
Gl-611.1,48.8166,-44.4800,16.5851,68.0926,0.4920,5534.1967
Gl-624,25.9887,-22.1748,8.8818,35.2991,1.1912,6170.4797
GJ-1128,5.8881,-18.9228,4.2033,20.2586,0.0003,3477.4388
Gl-55.3A,21.2631,-37.3362,47.8800,64.3320,4.0179,6528.1554
GJ-1280,37.0385,-36.1711,53.0543,74.1280,0.1380,4695.2263
Gl-55.1A,20.3698,-35.6385,45.8494,61.5403,0.2355,4791.2762
Gl-472,22.0950,-36.3266,4.4202,42.7475,0.2109,5134.3712
Gl-97.1,16.9584,-43.6101,49.0784,67.8094,15.1356,9765.8035
Gl-127.1B,7.7414,-26.6575,26.5583,38.4174,0.0002,5890.3220
Gl-127.1A,7.7414,-26.6575,26.5583,38.4174,0.0057,9541.5003
GJ-1294A,23.1674,-27.8652,40.5200,54.3606,0.0331,3966.8287
GJ-1262,43.2584,-30.4079,42.6774,67.9507,0.6138,5501.0930
Gl-3,25.8283,-31.3349,46.2409,61.5403,0.1259,4603.1486
Gl-293,3.7568,-20.9220,7.4991,22.5407,0.0001,5742.1289
GJ-1279,23.2729,-21.9843,33.8546,46.5948,0.0780,4308.7270
Wo-9732,38.2328,-25.9901,37.1422,59.3024,0.0126,3870.2956
Gl-54,8.7848,-15.1289,20.5366,26.9779,0.0072,3734.3173
Gl-776,44.4985,-27.2915,32.5923,61.5403,1.1482,5778.4237
NN-3112,11.5887,-24.4345,31.1967,41.2865,0.0005,6674.1615
Gl-85,16.1423,-40.7097,50.1289,66.5639,0.0090,3748.9340
Gl-333.3,14.1563,-62.7547,14.8573,66.0250,13.6773,8658.4730
GJ-2092,19.8673,-33.8217,2.3709,39.2968,0.0004,6880.2418
Gl-780,13.5834,-7.9094,9.9755,18.6166,1.0666,5404.2676
NN-3476,6.9964,-44.4524,14.4737,47.2700,0.2559,4891.5725
NN-3006,24.2784,-28.7251,45.8498,59.3024,0.0039,3719.8185
Gl-31.5,23.2203,-34.3489,52.0743,66.5639,0.8790,5778.4237
Gl-774A,32.2802,-18.2502,23.1625,43.7216,0.0045,3823.8388
Gl-774B,32.2802,-18.2502,23.1625,43.7216,0.0012,3705.4360
NN-4273,35.0984,-25.6532,43.5571,61.5403,0.0050,3705.4360
Gl-827,18.2970,-11.3690,18.2598,28.2393,1.5276,6434.5926
Gl-865,19.7834,-15.2916,26.2882,36.2807,0.0028,3635.2204
Gl-560B,41.9230,-42.9027,4.8148,60.1777,0.1213,4409.2340
Gl-560A,41.9230,-42.9027,4.8148,60.1777,22.4905,7865.8155
Gl-17,8.9836,-11.3532,18.4664,23.4650,0.9638,6046.9729
Gl-440,6.5308,-13.4023,0.7448,14.9274,0.0007,8241.2146
Gl-154.2,8.6872,-53.4020,51.4143,74.6369,12.5893,4450.8295
