distance,source,target
0.0,Sun,Sun
4.226040593747296,Sun,Gl-551
4.354670333102151,Sun,Gl-559B
4.354670333102151,Sun,Gl-559A
9.562127132599734,Sun,Gl-729
8.56742886109946,Sun,Gl-65A
8.574223911818493,Sun,Gl-244B
8.574223911818493,Sun,Gl-244A
5.9813910037716145,Sun,Gl-699
7.79733776618661,Sun,Gl-406
8.209526649569998,Sun,Gl-411
0.0,GJ-1123,GJ-1123
5.728266711667675,GJ-1123,Gl-231
7.260462922569058,GJ-1123,GJ-1128
6.361712676630407,GJ-1123,Gl-293
0.0,Gl-19,Gl-19
6.627441172126693,Gl-19,Gl-877
7.366593530255352,Gl-19,Gl-54
7.714590634635126,Gl-19,Gl-780
5.386515973242817,Gl-19,Gl-17
8.25800868853987,Gl-19,Gl-66B
8.25800868853987,Gl-19,Gl-66A
6.627441172126693,Gl-877,Gl-19
0.0,Gl-877,Gl-877
6.157557678982796,Gl-877,Gl-54
6.0713330579041696,Gl-877,Gl-827
6.676931991566187,Gl-877,Gl-17
5.728266711667675,Gl-231,GJ-1123
0.0,Gl-231,Gl-231
7.666739068208856,Gl-231,Gl-293
7.260462922569058,GJ-1128,GJ-1123
0.0,GJ-1128,GJ-1128
4.404717694699628,GJ-1128,Gl-293
6.5460068583832065,GJ-1128,Gl-440
6.372183673592593,GJ-1128,NN-3618
6.361712676630407,Gl-293,GJ-1123
7.666739068208856,Gl-293,Gl-231
4.404717694699628,Gl-293,GJ-1128
0.0,Gl-293,Gl-293
9.94354680081509,Gl-293,NN-3618
7.366593530255352,Gl-54,Gl-19
6.157557678982796,Gl-54,Gl-877
0.0,Gl-54,Gl-54
4.310586963512046,Gl-54,Gl-17
7.110005199716804,Gl-54,Gl-66B
7.110005199716804,Gl-54,Gl-66A
7.714590634635126,Gl-780,Gl-19
0.0,Gl-780,Gl-780
6.29898456419763,Gl-780,Gl-693
8.408745548534572,Gl-780,Gl-845
6.872468767480867,Gl-780,Gl-832
8.995289795220609,Gl-780,Gl-674
6.974572022712219,Gl-780,Gl-754
7.136962491144254,Gl-780,Gl-784
9.298133283622041,Gl-780,Gl-682
9.748945881478672,Gl-780,Gl-825
9.614753395173482,Gl-780,Gl-783A
6.0713330579041696,Gl-827,Gl-877
0.0,Gl-827,Gl-827
9.315704630354059,Gl-827,Gl-17
5.386515973242817,Gl-17,Gl-19
6.676931991566187,Gl-17,Gl-877
4.310586963512046,Gl-17,Gl-54
9.315704630354059,Gl-17,Gl-827
0.0,Gl-17,Gl-17
5.37168224209139,Gl-17,Gl-66B
5.37168224209139,Gl-17,Gl-66A
9.481086105505002,Gl-17,Gl-915
6.5460068583832065,Gl-440,GJ-1128
0.0,Gl-440,Gl-440
2.021154110898028,Gl-440,NN-3618
4.226040593747296,Gl-551,Sun
0.0,Gl-551,Gl-551
0.20789326588420304,Gl-551,Gl-559B
0.20789326588420304,Gl-551,Gl-559A
9.15793939104207,Gl-551,Gl-845
8.117344490657029,Gl-551,Gl-729
9.325025416051153,Gl-551,Gl-244B
9.325025416051153,Gl-551,Gl-244A
6.5529485912831635,Gl-551,Gl-699
8.242746164962258,Gl-551,Gl-406
6.372183673592593,NN-3618,GJ-1128
9.94354680081509,NN-3618,Gl-293
2.021154110898028,NN-3618,Gl-440
0.0,NN-3618,NN-3618
4.354670333102151,Gl-559B,Sun
0.20789326588420304,Gl-559B,Gl-551
0.0,Gl-559B,Gl-559B
0.0,Gl-559B,Gl-559A
9.160323682054035,Gl-559B,Gl-845
7.990131368757338,Gl-559B,Gl-729
9.511932732100243,Gl-559B,Gl-244B
9.511932732100243,Gl-559B,Gl-244A
6.4735803455275045,Gl-559B,Gl-699
8.282552077107633,Gl-559B,Gl-406
4.354670333102151,Gl-559A,Sun
0.20789326588420304,Gl-559A,Gl-551
0.0,Gl-559A,Gl-559B
0.0,Gl-559A,Gl-559A
9.160323682054035,Gl-559A,Gl-845
7.990131368757338,Gl-559A,Gl-729
9.511932732100243,Gl-559A,Gl-244B
9.511932732100243,Gl-559A,Gl-244A
6.4735803455275045,Gl-559A,Gl-699
8.282552077107633,Gl-559A,Gl-406
6.29898456419763,Gl-693,Gl-780
0.0,Gl-693,Gl-693
5.827012658300991,Gl-693,Gl-674
