source,target
Sun,Sun
Sun,Gl-551
Sun,Gl-559B
Sun,Gl-559A
Sun,Gl-729
Sun,Gl-65A
Sun,Gl-244B
Sun,Gl-244A
Sun,Gl-699
Sun,Gl-406
Sun,Gl-411
GJ-1123,GJ-1123
GJ-1123,Gl-231
GJ-1123,GJ-1128
GJ-1123,Gl-293
Gl-19,Gl-19
Gl-19,Gl-877
Gl-19,Gl-54
Gl-19,Gl-780
Gl-19,Gl-17
Gl-19,Gl-66B
Gl-19,Gl-66A
Gl-877,Gl-19
Gl-877,Gl-877
Gl-877,Gl-54
Gl-877,Gl-827
Gl-877,Gl-17
Gl-231,GJ-1123
Gl-231,Gl-231
Gl-231,Gl-293
GJ-1128,GJ-1123
GJ-1128,GJ-1128
GJ-1128,Gl-293
GJ-1128,Gl-440
GJ-1128,NN-3618
Gl-293,GJ-1123
Gl-293,Gl-231
Gl-293,GJ-1128
Gl-293,Gl-293
Gl-293,NN-3618
Gl-54,Gl-19
Gl-54,Gl-877
Gl-54,Gl-54
Gl-54,Gl-17
Gl-54,Gl-66B
Gl-54,Gl-66A
Gl-780,Gl-19
Gl-780,Gl-780
Gl-780,Gl-693
Gl-780,Gl-845
Gl-780,Gl-832
Gl-780,Gl-674
Gl-780,Gl-754
Gl-780,Gl-784
Gl-780,Gl-682
Gl-780,Gl-825
Gl-780,Gl-783A
Gl-827,Gl-877
Gl-827,Gl-827
Gl-827,Gl-17
Gl-17,Gl-19
Gl-17,Gl-877
Gl-17,Gl-54
Gl-17,Gl-827
Gl-17,Gl-17
Gl-17,Gl-66B
Gl-17,Gl-66A
Gl-17,Gl-915
Gl-440,GJ-1128
Gl-440,Gl-440
Gl-440,NN-3618
Gl-551,Sun
Gl-551,Gl-551
Gl-551,Gl-559B
Gl-551,Gl-559A
Gl-551,Gl-845
Gl-551,Gl-729
Gl-551,Gl-244B
Gl-551,Gl-244A
Gl-551,Gl-699
Gl-551,Gl-406
NN-3618,GJ-1128
NN-3618,Gl-293
NN-3618,Gl-440
NN-3618,NN-3618
Gl-559B,Sun
Gl-559B,Gl-551
Gl-559B,Gl-559B
Gl-559B,Gl-559A
Gl-559B,Gl-845
Gl-559B,Gl-729
Gl-559B,Gl-244B
Gl-559B,Gl-244A
Gl-559B,Gl-699
Gl-559B,Gl-406
Gl-559A,Sun
Gl-559A,Gl-551
Gl-559A,Gl-559B
Gl-559A,Gl-559A
Gl-559A,Gl-845
Gl-559A,Gl-729
Gl-559A,Gl-244B
Gl-559A,Gl-244A
Gl-559A,Gl-699
Gl-559A,Gl-406
Gl-693,Gl-780
Gl-693,Gl-693
Gl-693,Gl-674
Gl-693,Gl-666B
Gl-693,Gl-666A
Gl-693,Gl-754
Gl-693,Gl-784
Gl-693,Gl-682
Gl-693,Gl-588
Gl-693,Gl-667C
Gl-693,Gl-667A
Gl-845,Gl-780
Gl-845,Gl-551
Gl-845,Gl-559B
Gl-845,Gl-559A
Gl-845,Gl-845
Gl-845,Gl-832
Gl-845,Gl-674
Gl-845,Gl-754
Gl-845,Gl-825
Gl-845,Gl-1
Gl-845,Gl-783A
Gl-845,Gl-887
Gl-845,Gl-729
Gl-845,Gl-65A
Gl-845,Gl-866AB
Gl-66B,Gl-19
Gl-66B,Gl-54
Gl-66B,Gl-17
Gl-66B,Gl-66B
Gl-66B,Gl-66A
Gl-66B,Gl-915
Gl-66B,Gl-139
Gl-66A,Gl-19
Gl-66A,Gl-54
Gl-66A,Gl-17
Gl-66A,Gl-66B
Gl-66A,Gl-66A
Gl-66A,Gl-915
Gl-66A,Gl-139
Gl-479,Gl-479
Gl-479,Gl-438
Gl-479,NN-3737
Gl-438,Gl-479
Gl-438,Gl-438
Gl-438,NN-3737
Gl-832,Gl-780
Gl-832,Gl-845
Gl-832,Gl-832
Gl-832,Gl-754
Gl-832,Gl-784
Gl-832,Gl-825
Gl-832,Gl-1
Gl-832,Gl-783A
Gl-832,Gl-887
Gl-832,Gl-881
Gl-832,Gl-866AB
GJ-2034,GJ-2034
GJ-2034,Gl-139
Gl-674,Gl-780
Gl-674,Gl-693
Gl-674,Gl-845
Gl-674,Gl-674
Gl-674,Gl-666B
Gl-674,Gl-666A
Gl-674,Gl-754
Gl-674,Gl-784
Gl-674,Gl-682
Gl-674,Gl-588
Gl-674,Gl-783A
Gl-674,Gl-667C
Gl-674,Gl-667A
Gl-674,Gl-663B
Gl-674,Gl-663A
Gl-674,Gl-664
Gl-674,Gl-729
Gl-674,Gl-628
Gl-666B,Gl-693
Gl-666B,Gl-674
Gl-666B,Gl-666B
Gl-666B,Gl-666A
Gl-666B,Gl-754
Gl-666B,Gl-682
Gl-666B,Gl-588
Gl-666B,Gl-618B
Gl-666B,Gl-618A
Gl-666B,Gl-667C
Gl-666B,Gl-667A
Gl-666A,Gl-693
Gl-666A,Gl-674
Gl-666A,Gl-666B
Gl-666A,Gl-666A
Gl-666A,Gl-754
Gl-666A,Gl-682
Gl-666A,Gl-588
Gl-666A,Gl-618B
Gl-666A,Gl-618A
Gl-666A,Gl-667C
Gl-666A,Gl-667A
Gl-367,Gl-367
Gl-367,Gl-318
Gl-754,Gl-780
Gl-754,Gl-693
Gl-754,Gl-845
Gl-754,Gl-832
Gl-754,Gl-674
Gl-754,Gl-666B
Gl-754,Gl-666A
Gl-754,Gl-754
Gl-754,Gl-784
Gl-754,Gl-682
Gl-754,Gl-825
Gl-754,Gl-783A
Gl-754,Gl-663B
Gl-754,Gl-663A
Gl-754,Gl-664
Gl-784,Gl-780
Gl-784,Gl-693
Gl-784,Gl-832
Gl-784,Gl-674
Gl-784,Gl-754
Gl-784,Gl-784
Gl-784,Gl-682
Gl-784,Gl-825
Gl-784,Gl-783A
Gl-784,Gl-799A
Gl-191,Gl-191
Gl-191,GJ-1061
Gl-191,Gl-139
Gl-191,Gl-229
Gl-191,Gl-65A
Gl-191,Gl-244B
Gl-191,Gl-244A
Gl-191,Gl-144
Gl-191,Gl-166C
Gl-191,Gl-166B
Gl-191,Gl-166A
GJ-1061,Gl-191
GJ-1061,GJ-1061
GJ-1061,Gl-139
GJ-1061,Gl-1
GJ-1061,Gl-65A
GJ-1061,Gl-54.1
GJ-1061,Gl-71
GJ-1061,Gl-144
GJ-1061,Gl-166C
GJ-1061,Gl-166B
GJ-1061,Gl-166A
Gl-682,Gl-780
Gl-682,Gl-693
Gl-682,Gl-674
Gl-682,Gl-666B
Gl-682,Gl-666A
Gl-682,Gl-754
Gl-682,Gl-784
Gl-682,Gl-682
Gl-682,Gl-588
Gl-682,Gl-783A
Gl-682,Gl-667C
Gl-682,Gl-667A
Gl-682,Gl-663B
Gl-682,Gl-663A
Gl-682,Gl-664
Gl-682,Gl-729
Gl-682,Gl-628
Gl-257A,Gl-257A
Gl-915,Gl-17
Gl-915,Gl-66B
Gl-915,Gl-66A
Gl-915,Gl-915
Gl-915,Gl-879
Gl-915,Gl-881
Gl-139,Gl-66B
Gl-139,Gl-66A
Gl-139,GJ-2034
Gl-139,Gl-191
Gl-139,GJ-1061
Gl-139,Gl-139
Gl-588,Gl-693
Gl-588,Gl-674
Gl-588,Gl-666B
Gl-588,Gl-666A
Gl-588,Gl-682
Gl-588,Gl-588
Gl-588,Gl-618B
Gl-588,Gl-618A
Gl-588,Gl-667C
Gl-588,Gl-667A
Gl-588,NN-3877
Gl-588,Gl-663B
Gl-588,Gl-663A
Gl-588,Gl-664
Gl-588,Gl-570A
Gl-588,Gl-570B
Gl-825,Gl-780
Gl-825,Gl-845
Gl-825,Gl-832
Gl-825,Gl-754
Gl-825,Gl-784
Gl-825,Gl-825
Gl-825,Gl-1
Gl-825,Gl-783A
Gl-825,Gl-887
Gl-825,Gl-729
Gl-825,Gl-866AB
Gl-825,Gl-876
NN-3737,Gl-479
NN-3737,Gl-438
NN-3737,NN-3737
Gl-618B,Gl-666B
Gl-618B,Gl-666A
Gl-618B,Gl-588
Gl-618B,Gl-618B
Gl-618B,Gl-618A
Gl-618B,Gl-667C
Gl-618B,Gl-667A
Gl-618B,NN-3877
Gl-618B,Gl-663B
Gl-618B,Gl-663A
Gl-618B,Gl-664
Gl-618A,Gl-666B
Gl-618A,Gl-666A
Gl-618A,Gl-588
Gl-618A,Gl-618B
Gl-618A,Gl-618A
Gl-618A,Gl-667C
Gl-618A,Gl-667A
Gl-618A,NN-3877
Gl-618A,Gl-663B
Gl-618A,Gl-663A
Gl-618A,Gl-664
Gl-1,Gl-845
Gl-1,Gl-832
Gl-1,GJ-1061
Gl-1,Gl-825
Gl-1,Gl-1
Gl-1,Gl-887
Gl-1,Gl-881
Gl-1,Gl-65A
Gl-1,Gl-54.1
Gl-1,GJ-1005AB
Gl-1,Gl-71
Gl-1,Gl-866AB
Gl-1,Gl-876
Gl-1,GJ-1002
Gl-783A,Gl-780
Gl-783A,Gl-845
Gl-783A,Gl-832
Gl-783A,Gl-674
Gl-783A,Gl-754
Gl-783A,Gl-784
Gl-783A,Gl-682
Gl-783A,Gl-825
Gl-783A,Gl-783A
Gl-783A,Gl-799A
Gl-887,Gl-845
Gl-887,Gl-832
Gl-887,Gl-825
Gl-887,Gl-1
Gl-887,Gl-887
Gl-887,Gl-881
Gl-887,Gl-729
Gl-887,Gl-65A
Gl-887,Gl-54.1
Gl-887,GJ-1005AB
Gl-887,Gl-71
Gl-887,Gl-866AB
Gl-887,Gl-876
Gl-887,GJ-1002
Gl-667C,Gl-693
Gl-667C,Gl-674
Gl-667C,Gl-666B
Gl-667C,Gl-666A
Gl-667C,Gl-682
Gl-667C,Gl-588
Gl-667C,Gl-618B
Gl-667C,Gl-618A
Gl-667C,Gl-667C
Gl-667C,Gl-667A
Gl-667C,Gl-663B
Gl-667C,Gl-663A
Gl-667C,Gl-664
Gl-667C,GJ-1224
Gl-667A,Gl-693
Gl-667A,Gl-674
Gl-667A,Gl-666B
Gl-667A,Gl-666A
Gl-667A,Gl-682
Gl-667A,Gl-588
Gl-667A,Gl-618B
Gl-667A,Gl-618A
Gl-667A,Gl-667C
Gl-667A,Gl-667A
Gl-667A,Gl-663B
Gl-667A,Gl-663A
Gl-667A,Gl-664
Gl-667A,GJ-1224
Gl-318,Gl-367
Gl-318,Gl-318
Gl-318,Gl-357
Gl-799A,Gl-784
Gl-799A,Gl-783A
Gl-799A,Gl-799A
Gl-799A,Gl-785
Gl-879,Gl-915
Gl-879,Gl-879
Gl-879,Gl-881
Gl-879,Gl-884
Gl-879,Gl-867B
Gl-879,Gl-867A
Gl-879,NN-4274
Gl-881,Gl-832
Gl-881,Gl-915
Gl-881,Gl-1
Gl-881,Gl-887
Gl-881,Gl-879
Gl-881,Gl-881
Gl-881,Gl-884
Gl-881,Gl-867B
Gl-881,Gl-867A
Gl-881,NN-4274
Gl-881,GJ-1005AB
Gl-881,Gl-876
NN-3877,Gl-588
NN-3877,Gl-618B
NN-3877,Gl-618A
NN-3877,NN-3877
NN-3877,Gl-570A
NN-3877,Gl-570B
NN-3877,Gl-555
NN-3877,Gl-581
Gl-785,Gl-799A
Gl-785,Gl-785
Gl-663B,Gl-674
Gl-663B,Gl-754
Gl-663B,Gl-682
Gl-663B,Gl-588
Gl-663B,Gl-618B
Gl-663B,Gl-618A
Gl-663B,Gl-667C
